TOP.6441b5bb.000a413a	START
TOP.6441b5bb.000a413a	folder_config->cwd	/home
TOP.6441b5bb.000a413a	folder_config->install_dir	/usr/bin
TOP.6441b5bb.000a413a	folder_config->profile_dir	/root/.local/share/hashcat
TOP.6441b5bb.000a413a	folder_config->session_dir	/root/.local/share/hashcat/sessions
TOP.6441b5bb.000a413a	folder_config->shared_dir	/usr/share/hashcat
TOP.6441b5bb.000a413a	user_options->encoding_from	utf-8
TOP.6441b5bb.000a413a	user_options->encoding_to	utf-8
TOP.6441b5bb.000a413a	user_options->rp_files[0]	./buny/d3adhob0.rule
TOP.6441b5bb.000a413a	user_options->rule_buf_l	:
TOP.6441b5bb.000a413a	user_options->rule_buf_r	:
TOP.6441b5bb.000a413a	user_options->session	hashcat
TOP.6441b5bb.000a413a	user_options->separator	:
TOP.6441b5bb.000a413a	user_options->limit	0
TOP.6441b5bb.000a413a	user_options->skip	0
TOP.6441b5bb.000a413a	user_options->attack_mode	0
TOP.6441b5bb.000a413a	user_options->benchmark	0
TOP.6441b5bb.000a413a	user_options->benchmark_all	0
TOP.6441b5bb.000a413a	user_options->bitmap_max	18
TOP.6441b5bb.000a413a	user_options->bitmap_min	16
TOP.6441b5bb.000a413a	user_options->debug_mode	0
TOP.6441b5bb.000a413a	user_options->hash_info	0
TOP.6441b5bb.000a413a	user_options->force	0
TOP.6441b5bb.000a413a	user_options->hwmon_disable	0
TOP.6441b5bb.000a413a	user_options->hwmon_temp_abort	90
TOP.6441b5bb.000a413a	user_options->hash_mode	11300
TOP.6441b5bb.000a413a	user_options->hex_charset	0
TOP.6441b5bb.000a413a	user_options->hex_salt	0
TOP.6441b5bb.000a413a	user_options->hex_wordlist	0
TOP.6441b5bb.000a413a	user_options->hook_threads	2
TOP.6441b5bb.000a413a	user_options->identify	0
TOP.6441b5bb.000a413a	user_options->increment	0
TOP.6441b5bb.000a413a	user_options->increment_max	256
TOP.6441b5bb.000a413a	user_options->increment_min	1
TOP.6441b5bb.000a413a	user_options->keep_guessing	0
TOP.6441b5bb.000a413a	user_options->kernel_accel	0
TOP.6441b5bb.000a413a	user_options->kernel_loops	0
TOP.6441b5bb.000a413a	user_options->kernel_threads	0
TOP.6441b5bb.000a413a	user_options->keyspace	0
TOP.6441b5bb.000a413a	user_options->left	0
TOP.6441b5bb.000a413a	user_options->logfile_disable	0
TOP.6441b5bb.000a413a	user_options->loopback	0
TOP.6441b5bb.000a413a	user_options->machine_readable	0
TOP.6441b5bb.000a413a	user_options->markov_classic	0
TOP.6441b5bb.000a413a	user_options->markov_disable	0
TOP.6441b5bb.000a413a	user_options->markov_inverse	0
TOP.6441b5bb.000a413a	user_options->markov_threshold	256
TOP.6441b5bb.000a413a	user_options->multiply_accel_disable	0
TOP.6441b5bb.000a413a	user_options->backend_info	0
TOP.6441b5bb.000a413a	user_options->backend_vector_width	0
TOP.6441b5bb.000a413a	user_options->optimized_kernel_enable	1
TOP.6441b5bb.000a413a	user_options->outfile_autohex	1
TOP.6441b5bb.000a413a	user_options->outfile_check_timer	5
TOP.6441b5bb.000a413a	user_options->outfile_format	3
TOP.6441b5bb.000a413a	user_options->wordlist_autohex_disable	0
TOP.6441b5bb.000a413a	user_options->potfile_disable	0
TOP.6441b5bb.000a413a	user_options->progress_only	0
TOP.6441b5bb.000a413a	user_options->quiet	0
TOP.6441b5bb.000a413a	user_options->remove	0
TOP.6441b5bb.000a413a	user_options->remove_timer	60
TOP.6441b5bb.000a413a	user_options->restore	0
TOP.6441b5bb.000a413a	user_options->restore_disable	0
TOP.6441b5bb.000a413a	user_options->restore_timer	1
TOP.6441b5bb.000a413a	user_options->rp_files_cnt	1
TOP.6441b5bb.000a413a	user_options->rp_gen	0
